Date,Max,Min
10/1/2015,97,73
10/2/2015,100,79
10/3/2015,93,72
10/4/2015,90,72
10/5/2015,100,73
10/6/2015,106,77
10/7/2015,95,77
10/8/2015,104,79
10/9/2015,102,75
10/10/2015,77,72
10/11/2015,73,66
10/12/2015,73,64
10/13/2015,91,66
10/14/2015,102,75
10/15/2015,102,77
10/16/2015,106,77
10/17/2015,104,81
10/18/2015,97,75
10/19/2015,102,81
10/20/2015,104,81
10/21/2015,104,81
10/22/2015,106,81
10/23/2015,102,76
10/24/2015,97,75
10/25/2015,88,79
10/26/2015,99,77
10/27/2015,99,76
10/28/2015,99,77
10/29/2015,91,79
10/30/2015,93,77
10/31/2015,84,77
11/1/2015,91,73
11/2/2015,86,73
11/3/2015,91,75
11/4/2015,93,75
11/5/2015,90,75
11/6/2015,90,75
11/7/2015,91,73
11/8/2015,99,75
11/9/2015,88,77
11/10/2015,99,73
11/11/2015,102,75
11/12/2015,100,75
11/13/2015,102,77
11/14/2015,99,75
11/15/2015,97,75
11/16/2015,97,77
11/17/2015,95,75
11/18/2015,99,77
11/19/2015,99,79
11/20/2015,95,79
11/21/2015,86,72
11/22/2015,95,75
11/23/2015,99,79
11/24/2015,95,77
11/25/2015,99,72
11/26/2015,91,75
11/27/2015,99,75
11/28/2015,95,75
11/29/2015,93,77
11/30/2015,86,73
12/1/2015,93,74
12/2/2015,93,75
12/3/2015,97,75
12/4/2015,99,77
12/5/2015,93,79
12/6/2015,84,72
12/7/2015,90,75
12/8/2015,91,77
12/9/2015,95,76
12/10/2015,91,75
12/11/2015,97,72
12/12/2015,99,79
12/13/2015,97,79
12/14/2015,95,77
12/15/2015,95,79
12/16/2015,95,75
12/17/2015,97,73
12/18/2015,97,77
12/19/2015,95,77
12/20/2015,93,73
12/21/2015,91,75
12/22/2015,91,77
12/23/2015,97,77
12/24/2015,100,79
12/25/2015,93,75
12/26/2015,93,77
12/27/2015,93,77
12/28/2015,97,79
12/29/2015,91,75
12/30/2015,88,75
12/31/2015,91,77
