Date,Max,Min
5/1/2019,70,56
5/2/2019,61,55
5/3/2019,55,49
5/4/2019,59,50
5/5/2019,55,44
5/6/2019,63,48
5/7/2019,73,58
5/8/2019,66,55
5/9/2019,65,55
5/10/2019,76,62
5/11/2019,64,56
5/12/2019,65,54
5/13/2019,67,53
5/14/2019,72,57
5/15/2019,72,59
5/16/2019,73,59
5/17/2019,53,51
5/18/2019,58,51
5/19/2019,57,51
5/20/2019,64,54
5/21/2019,66,56
5/22/2019,73,61
5/23/2019,77,62
5/24/2019,55,55
5/25/2019,58,54
5/26/2019,67,58
5/27/2019,62,56
5/28/2019,61,54
5/29/2019,66,57
5/30/2019,74,61
5/31/2019,80,65
6/1/2019,86,72
6/2/2019,88,76
6/3/2019,77,67
6/4/2019,81,66
6/5/2019,59,53
6/6/2019,70,58
6/7/2019,68,61
6/8/2019,70,59
6/9/2019,72,60
6/10/2019,56,53
6/11/2019,59,52
6/12/2019,67,55
6/13/2019,74,59
6/14/2019,62,58
6/15/2019,64,57
6/16/2019,75,62
6/17/2019,84,69
6/18/2019,88,73
6/19/2019,79,68
6/20/2019,64,62
6/21/2019,60,58
6/22/2019,76,65
6/23/2019,89,73
6/24/2019,80,69
6/25/2019,82,73
6/26/2019,95,78
6/27/2019,96,80
6/28/2019,86,74
6/29/2019,96,76
6/30/2019,79,69
7/1/2019,73,65
7/2/2019,74,66
7/3/2019,85,73
7/4/2019,91,77
7/5/2019,88,78
7/6/2019,85,75
7/7/2019,76,69
7/8/2019,80,70
7/9/2019,70,65
7/10/2019,80,69
7/11/2019,82,72
7/12/2019,83,72
7/13/2019,80,71
7/14/2019,80,72
7/15/2019,79,69
7/16/2019,81,69
7/17/2019,78,69
7/18/2019,76,67
7/19/2019,85,71
7/20/2019,79,72
7/21/2019,80,72
7/22/2019,94,79
7/23/2019,99,84
7/24/2019,96,81
7/25/2019,100,84
7/26/2019,76,68
7/27/2019,65,61
7/28/2019,75,65
7/29/2019,84,68
7/30/2019,66,62
7/31/2019,74,65
8/1/2019,79,67
8/2/2019,81,70
8/3/2019,86,73
8/4/2019,82,71
8/5/2019,74,68
8/6/2019,81,71
8/7/2019,77,71
8/8/2019,91,78
8/9/2019,93,78
8/10/2019,74,69
8/11/2019,67,63
8/12/2019,64,59
8/13/2019,68,61
8/14/2019,78,65
8/15/2019,70,66
8/16/2019,82,69
8/17/2019,83,71
8/18/2019,79,69
8/19/2019,68,63
8/20/2019,72,61
8/21/2019,76,63
8/22/2019,78,65
8/23/2019,85,69
8/24/2019,90,77
8/25/2019,84,73
8/26/2019,83,72
8/27/2019,78,70
8/28/2019,81,71
8/29/2019,85,73
8/30/2019,87,74
8/31/2019,81,71
9/1/2019,70,66
9/2/2019,71,62
9/3/2019,76,63
9/4/2019,76,65
9/5/2019,68,60
9/6/2019,70,58
9/7/2019,70,58
9/8/2019,71,60
9/9/2019,69,59
9/10/2019,67,57
9/11/2019,74,62
9/12/2019,77,62
9/13/2019,80,66
9/14/2019,81,69
9/15/2019,85,71
9/16/2019,82,71
9/17/2019,84,72
9/18/2019,78,69
9/19/2019,77,68
9/20/2019,85,69
9/21/2019,82,68
9/22/2019,65,61
9/23/2019,76,62
9/24/2019,77,65
9/25/2019,68,61
9/26/2019,75,64
9/27/2019,75,65
9/28/2019,73,63
9/29/2019,85,67
9/30/2019,79,66
10/1/2019,71,63
10/2/2019,64,58
10/3/2019,68,57
10/4/2019,68,59
10/5/2019,70,60
10/6/2019,68,60
10/7/2019,69,58
10/8/2019,80,64
