Date,Max,Min
5/1/2017,81,51
5/2/2017,68,44
5/3/2017,52,40
5/4/2017,57,40
5/5/2017,55,43
5/6/2017,45,41
5/7/2017,59,37
5/8/2017,56,34
5/9/2017,56,32
5/10/2017,63,42
5/11/2017,72,45
5/12/2017,59,44
5/13/2017,61,40
5/14/2017,71,40
5/15/2017,75,43
5/16/2017,74,44
5/17/2017,87,60
5/18/2017,87,66
5/19/2017,86,59
5/20/2017,62,50
5/21/2017,72,52
5/22/2017,75,49
5/23/2017,69,49
5/24/2017,75,50
5/25/2017,69,59
5/26/2017,65,55
5/27/2017,70,54
5/28/2017,76,58
5/29/2017,80,55
5/30/2017,80,56
5/31/2017,75,52
6/1/2017,76,50
6/2/2017,77,49
6/3/2017,80,50
6/4/2017,84,52
6/5/2017,86,65
6/6/2017,75,51
6/7/2017,69,53
6/8/2017,64,49
6/9/2017,74,53
6/10/2017,80,52
6/11/2017,85,64
6/12/2017,89,66
6/13/2017,92,70
6/14/2017,93,53
6/15/2017,85,67
6/16/2017,83,65
6/17/2017,90,67
6/18/2017,91,44
6/19/2017,83,63
6/20/2017,80,55
6/21/2017,80,57
6/22/2017,81,50
6/23/2017,89,69
6/24/2017,73,47
6/25/2017,78,55
6/26/2017,72,54
6/27/2017,72,50
6/28/2017,71,50
6/29/2017,79,52
6/30/2017,85,50
7/1/2017,85,50
7/2/2017,81,48
7/3/2017,83,62
7/4/2017,85,63
7/5/2017,82,60
7/6/2017,84,60
7/7/2017,78,65
7/8/2017,76,62
7/9/2017,77,54
7/10/2017,80,54
7/11/2017,80,63
7/12/2017,83,69
7/13/2017,85,70
7/14/2017,83,70
7/15/2017,84,63
7/16/2017,79,60
7/17/2017,83,62
7/18/2017,79,62
7/19/2017,88,65
7/20/2017,90,69
7/21/2017,85,73
7/22/2017,89,71
7/23/2017,85,70
7/24/2017,82,65
7/25/2017,75,54
7/26/2017,76,55
7/27/2017,81,58
7/28/2017,82,65
7/29/2017,79,56
7/30/2017,75,56
7/31/2017,76,57
8/1/2017,85,57
8/2/2017,85,61
8/3/2017,84,64
8/4/2017,85,64
8/5/2017,75,55
8/6/2017,76,55
8/7/2017,75,58
8/8/2017,75,57
8/9/2017,78,55
8/10/2017,83,55
8/11/2017,82,55
8/12/2017,80,59
8/13/2017,80,55
8/14/2017,81,56
8/15/2017,83,60
8/16/2017,85,62
8/17/2017,89,62
8/18/2017,82,63
8/19/2017,82,57
8/20/2017,85,57
8/21/2017,88,63
8/22/2017,88,63
8/23/2017,80,53
8/24/2017,76,53
8/25/2017,72,51
8/26/2017,71,47
8/27/2017,72,47
8/28/2017,76,52
8/29/2017,73,53
8/30/2017,71,54
8/31/2017,72,45
9/1/2017,75,49
9/2/2017,73,49
9/3/2017,61,52
9/4/2017,77,57
9/5/2017,82,57
9/6/2017,73,46
9/7/2017,64,46
9/8/2017,67,48
9/9/2017,67,44
9/10/2017,68,44
9/11/2017,69,43
9/12/2017,72,48
9/13/2017,73,51
9/14/2017,75,59
9/15/2017,77,59
9/16/2017,80,58
9/17/2017,82,56
9/18/2017,83,56
9/19/2017,81,62
9/20/2017,78,64
9/21/2017,86,62
9/22/2017,90,62
9/23/2017,89,61
9/24/2017,90,60
9/25/2017,89,62
9/26/2017,89,63
9/27/2017,90,62
9/28/2017,86,56
9/29/2017,68,44
9/30/2017,71,44
10/1/2017,72,44
10/2/2017,79,42
10/3/2017,85,53
10/4/2017,81,61
5/1/2018,71,46
5/2/2018,82,48
5/3/2018,84,60
5/4/2018,74,67
5/5/2018,79,47
5/6/2018,74,48
5/7/2018,74,49
5/8/2018,67,42
5/9/2018,79,43
5/10/2018,84,62
5/11/2018,76,50
5/12/2018,65,48
5/13/2018,74,51
5/14/2018,71,51
5/15/2018,80,61
5/16/2018,77,59
5/17/2018,76,56
5/18/2018,81,56
5/19/2018,75,58
5/20/2018,80,61
5/21/2018,71,56
5/22/2018,82,62
5/23/2018,81,55
5/24/2018,76,52
5/25/2018,83,55
5/26/2018,87,59
5/27/2018,87,67
5/28/2018,90,67
5/29/2018,92,69
5/30/2018,91,71
5/31/2018,86,72
6/1/2018,88,68
6/2/2018,83,62
6/3/2018,76,61
6/4/2018,82,63
6/5/2018,82,59
6/6/2018,73,47
6/7/2018,69,49
6/8/2018,83,57
6/9/2018,84,65
6/10/2018,82,66
6/11/2018,78,67
6/12/2018,76,63
6/13/2018,78,63
6/14/2018,84,56
6/15/2018,81,57
6/16/2018,83,61
6/17/2018,90,68
6/18/2018,94,73
6/19/2018,94,74
6/20/2018,79,69
6/21/2018,80,61
6/22/2018,79,63
6/23/2018,79,68
6/24/2018,78,68
6/25/2018,78,62
6/26/2018,79,60
6/27/2018,82,63
6/28/2018,81,65
6/29/2018,85,66
6/30/2018,89,66
7/1/2018,91,70
7/2/2018,93,73
7/3/2018,91,72
7/4/2018,92,73
7/5/2018,91,74
7/6/2018,91,70
7/7/2018,76,55
7/8/2018,79,57
7/9/2018,85,59
7/10/2018,87,66
7/11/2018,89,58
7/12/2018,80,58
7/13/2018,82,59
7/14/2018,86,61
7/15/2018,89,69
7/16/2018,92,72
7/17/2018,89,67
7/18/2018,84,58
7/19/2018,80,57
7/20/2018,83,58
7/21/2018,78,66
7/22/2018,78,66
7/23/2018,75,64
7/24/2018,80,63
7/25/2018,82,66
7/26/2018,86,62
7/27/2018,85,61
7/28/2018,85,56
7/29/2018,79,60
7/30/2018,79,63
7/31/2018,79,65
8/1/2018,77,67
8/2/2018,75,65
8/3/2018,81,65
8/4/2018,85,65
8/5/2018,88,67
8/6/2018,90,70
8/7/2018,90,68
8/8/2018,85,69
8/9/2018,84,66
8/10/2018,84,66
8/11/2018,84,65
8/12/2018,83,61
8/13/2018,83,60
8/14/2018,83,61
8/15/2018,85,61
8/16/2018,88,66
8/17/2018,75,70
8/18/2018,81,67
8/19/2018,82,64
8/20/2018,81,60
8/21/2018,82,62
8/22/2018,78,64
8/23/2018,73,54
8/24/2018,78,53
8/25/2018,79,55
8/26/2018,78,70
8/27/2018,87,71
8/28/2018,90,70
8/29/2018,90,73
8/30/2018,90,68
8/31/2018,80,63
9/1/2018,86,63
9/2/2018,87,70
9/3/2018,90,71
9/4/2018,92,70
9/5/2018,93,71
9/6/2018,94,71
9/7/2018,80,68
9/8/2018,76,64
9/9/2018,65,57
9/10/2018,62,58
9/11/2018,65,60
9/12/2018,69,61
9/13/2018,77,61
9/14/2018,84,61
9/15/2018,77,67
9/16/2018,88,67
9/17/2018,85,69
9/18/2018,81,62
9/19/2018,88,62
9/20/2018,83,63
9/21/2018,91,65
9/22/2018,89,56
9/23/2018,65,50
9/24/2018,73,52
9/25/2018,69,58
9/26/2018,77,68
9/27/2018,70,49
9/28/2018,67,45
9/29/2018,74,45
9/30/2018,74,45
10/1/2018,67,52
5/1/2019,72,56
5/2/2019,66,51
5/3/2019,58,48
5/4/2019,63,47
5/5/2019,72,43
5/6/2019,78,49
5/7/2019,74,50
5/8/2019,85,52
5/9/2019,67,48
5/10/2019,60,46
5/11/2019,52,41
5/12/2019,49,44
5/13/2019,64,43
5/14/2019,68,42
5/15/2019,75,56
5/16/2019,83,56
5/17/2019,82,64
5/18/2019,87,61
